"DL_CH","SITE_name","CellName","LAT_SITE","LON_SITE","AZ","BW","RD","RD_Normal","separar","MME","MME_ID","lnBtsId","Cell_Id","TE","TM","ALT","PCI","TAC","RAC","rootSeqIndex","AdminCellState","E-UTRAN Avg PRB usage per TTI DL","E-UTRAN avg IP sched thp DL, QCI9","Average CQI","Avg UE distance","Distrito","REFARMING","actUlGrpHop"
2050,"TIMORAN","TIMORAN2",-12.1638,-76.9787,45,50,,0.0700,"|","MME_POOL","0",1541,5412,5,0,17,168,2331,1,"726","1",,,,,"SAN JUAN DE MIRAFLORES",,0
2050,"TIMORAN","TIMORAN3",-12.1638,-76.9787,190,50,,0.0700,"|","MME_POOL","0",1541,5413,8,0,17,170,2331,1,"732","1",,,,,"SAN JUAN DE MIRAFLORES",,0
2050,"TIRADO","TIRADO1",-12.0740,-77.0338,330,50,,0.0700,"|","MME_POOL","0",1422,4221,8,0,30,500,2530,1,"643","1",,,,,"LIMA",,0
2050,"TIRADO","TIRADO2",-12.0740,-77.0338,100,50,,0.0700,"|","MME_POOL","0",1422,4222,8,0,30,498,2530,1,"832","1",,,,,"LIMA",,0
2050,"TIRADO","TIRADO3",-12.0740,-77.0338,220,50,,0.0700,"|","MME_POOL","0",1422,4223,8,0,30,499,2530,1,"604","1",,,,,"LIMA",,0
2050,"TIRADO_PARDO","TIRADO_PARDO1",-11.9284,-77.0392,310,50,,0.0700,"|","MME_POOL","0",5500,13231,6,2,23,356,2040,1,"155","1",,,,,"COMAS",,0
2050,"TIRADO_PARDO","TIRADO_PARDO2",-11.9284,-77.0392,60,50,,0.0700,"|","MME_POOL","0",5500,13232,5,0,23,354,2040,1,"105","1",,,,,"COMAS",,0
2050,"TIRADO_PARDO","TIRADO_PARDO3",-11.9284,-77.0392,170,50,,0.0700,"|","MME_POOL","0",5500,13233,5,0,23,355,2040,1,"125","1",,,,,"COMAS",,0
2050,"TITA","TITA1",-12.1297,-77.0092,340,50,,0.0700,"|","MME_POOL","0",1237,2371,5,0,20,60,2200,1,"562","1",,,,,"SANTIAGO DE SURCO",,0
2050,"TITA","TITA2",-12.1297,-77.0092,90,50,,0.0700,"|","MME_POOL","0",1237,2372,4,0,20,61,2200,1,"206","1",,,,,"SANTIAGO DE SURCO",,0
2050,"TITA","TITA3",-12.1297,-77.0092,210,50,,0.0700,"|","MME_POOL","0",1237,2373,5,0,20,62,2200,1,"570","1",,,,,"SANTIAGO DE SURCO",,0
2050,"TITAN_NEW","Titan_NEW1",-12.0364,-76.9308,20,50,,0.0700,"|","MME_POOL","0",1960,9601,6,0,26,200,2130,1,"320","1",,,,,"ATE",,0
2050,"TITAN_NEW","Titan_NEW2",-12.0364,-76.9308,130,50,,0.0700,"|","MME_POOL","0",1960,9602,6,0,26,199,2130,1,"318","1",,,,,"ATE",,0
2050,"TITAN_NEW","Titan_NEW3",-12.0364,-76.9308,280,50,,0.0700,"|","MME_POOL","0",1960,9603,6,0,26,198,2130,1,"324","1",,,,,"ATE",,0
2050,"TIWINZA","TIWINZA1",-12.0209,-77.1384,15,50,,0.0700,"|","MME_POOL","0",1462,4621,4,0,15,265,2110,1,"319","1",,,,,"CALLAO",,0
2050,"TIWINZA","TIWINZA2",-12.0209,-77.1384,140,50,,0.0700,"|","MME_POOL","0",1462,4622,6,0,15,266,2110,1,"388","1",,,,,"CALLAO",,0
2050,"TIWINZA","TIWINZA3",-12.0209,-77.1384,240,50,,0.0700,"|","MME_POOL","0",1462,4623,6,0,15,264,2110,1,"309","1",,,,,"CALLAO",,0
2050,"TIZIANO","TIZIANO1",-12.0899,-77.0028,330,50,,0.0700,"|","MME_POOL","0",1238,2381,5,0,25,446,2522,1,"452","1",,,,,"SAN BORJA",,0
2050,"TIZIANO","TIZIANO2",-12.0899,-77.0028,100,50,,0.0700,"|","MME_POOL","0",1238,2382,5,0,25,445,2522,1,"420","1",,,,,"SAN BORJA",,0
