"UARFCN","SITE_name","SITE_CODE","name","LAT_SITE","LON_SITE","AZ","BW","RD","Expr1","BSC_RNC_MME_NAME","RncId","WbtsId","LcrId","TE","TM","ALT","PriScrCode","LAC","RAC","rootSeqIndex","AdminCellState","WCelState"
9768,"TORTUGAS_COLLIQUE","LI04569","TORTUGAS_COLLIQUE 2-C3",-11.9144,-77.0291,75,40,0.0600,"|","RNC05NLV",54,61783,61812,5.0000,0.0000,23.0000,113,2040,154,0,"No_Creado",999
9768,"TORTUGAS_COLLIQUE","LI04569","TORTUGAS_COLLIQUE 1-C3",-11.9144,-77.0291,260,40,0.0600,"|","RNC05NLV",54,61783,61802,9.0000,1.0000,23.0000,112,2040,154,0,"No_Creado",999
9768,"TORRICO","LI00568","TORRICO 3-C3",-12.0470,-77.0374,200,40,0.0600,"|","RNC02NLV",8,1581,7223,8.0000,7.0000,52.0000,399,2306,170,0,"No_Creado",999
9768,"TORRICO","LI00568","TORRICO 2-C3",-12.0470,-77.0374,110,40,0.0600,"|","RNC02NLV",8,1581,7222,8.0000,7.0000,52.0000,394,2306,170,0,"No_Creado",999
9768,"TORRICO","LI00568","TORRICO 1-C3",-12.0470,-77.0374,320,40,0.0600,"|","RNC02NLV",8,1581,7221,8.0000,5.0000,52.0000,390,2306,170,0,"No_Creado",999
9768,"TOURING_LINCE","LI04614","TOURING_LINCE 2-C3",-12.0891,-77.0380,5,40,0.0600,"|","RNC02NSI",38,63786,63794,9.0000,0.0000,23.0000,208,2521,251,0,"No_Creado",999
9768,"TOTORITAS","LI00355","TOTORITAS 3-C3",-12.6806,-76.6549,200,40,0.0600,"|","RNC06NMA",56,1354,2114,7.0000,-1.0000,15.0000,74,2100,164,0,"No_Creado",999
9768,"UNICACHI","LI04677","UNICACHI 1-C3",-12.1986,-76.9609,315,40,0.0600,"|","RNC04NMA",19,17411,17417,6.0000,0.0000,17.0000,207,2502,237,0,"No_Creado",999
9768,"TUPAC","LI00482","TUPAC 1-C3",-11.8877,-77.0276,354,40,0.0600,"|","RNC05NLV",54,1485,4891,0.0000,2.0000,18.0000,71,2040,154,0,"No_Creado",999
9768,"UNIDOS_NEW","LI00576","UNIDOS_NEW 3-C3",-12.0449,-77.0562,250,40,0.0600,"|","RNC02NLV",8,1588,6277,4.0000,0.0000,15.0000,291,2307,171,0,"No_Creado",999
9768,"UNIDOS_NEW","LI00576","UNIDOS_NEW 2-C3",-12.0449,-77.0562,125,40,0.0600,"|","RNC02NLV",8,1588,6276,4.0000,0.0000,15.0000,392,2307,171,0,"No_Creado",999
9768,"UNIDOS_NEW","LI00576","UNIDOS_NEW 1-C3",-12.0449,-77.0562,0,40,0.0600,"|","RNC02NLV",8,1588,6275,4.0000,0.0000,15.0000,289,2307,171,0,"No_Creado",999
9768,"UNICON","LI00756","UNICON 2-C3",-12.1463,-76.9797,200,40,0.0600,"|","RNC04NLV",29,12698,12719,6.0000,0.0000,22.0000,493,2331,191,0,"No_Creado",999
9768,"UNICON","LI00756","UNICON 1-C3",-12.1463,-76.9797,310,40,0.0600,"|","RNC04NLV",29,12698,12718,6.0000,0.0000,22.0000,492,2331,191,0,"No_Creado",999
9768,"UNIFE","LI00273","UNIFE 2-C3",-12.0708,-76.9671,80,40,0.0600,"|","RNC03NLV",20,1272,7232,8.0000,0.0000,25.0000,202,2322,225,0,"No_Creado",999
9768,"UNICACHI","LI04677","UNICACHI 2-C3",-12.1986,-76.9609,55,40,0.0600,"|","RNC04NMA",19,17411,17418,5.5000,0.0000,17.0000,208,2502,237,0,"No_Creado",999
9768,"UNIFE","LI00273","UNIFE 3-C3",-12.0708,-76.9671,190,40,0.0600,"|","RNC03NLV",20,1272,7233,8.0000,0.0000,25.0000,203,2322,225,0,"No_Creado",999
9768,"UNI","LI00511","UNI 3-C3",-12.0267,-77.0482,210,40,0.0600,"|","RNC02NLV",8,1515,5374,5.0000,0.0000,18.0000,186,2306,170,0,"No_Creado",999
