"BAND","name","LAT_SITE","LON_SITE","AZ","BW","RD","CELL-ID","BSCId","BSC_NAME","BCFId","BTSId","TRXId","initialFrequency","preferredBcchMark","status","hoppingSequenceNumber1","bsIdentityCodeBCC","bsIdentityCodeNCC","BTS_State","TRX_STATE","LAC","rac","REFARMING"
1900,"GONZALES_PRADA 4",-12.0433,-76.9836,320,70,0.1100,13321,363922,"BSC02NLV",655,655,,672,1,"no creado",,,,,,1126,126,
1900,"GONZALES_PRADA 5",-12.0433,-76.9836,70,70,0.1100,13322,363922,"BSC02NLV",655,656,,669,1,"no creado",,,,,,1126,126,
1900,"GONZALES_PRADA 6",-12.0433,-76.9836,180,70,0.1100,13323,363922,"BSC02NLV",655,657,,615,1,"no creado",,,,,,1126,126,
1900,"GRANADOS 4",-11.9777,-76.9901,340,70,0.1100,61216,363922,"BSC02NLV",868,868,,669,1,"no creado",,,,,,1140,95,
1900,"GRANADOS 5",-11.9777,-76.9901,80,70,0.1100,61217,363922,"BSC02NLV",868,869,,612,1,"no creado",,,,,,1140,95,
1900,"GRANADOS 6",-11.9777,-76.9901,220,70,0.1100,61218,363922,"BSC02NLV",868,870,,614,1,"no creado",,,,,,1140,95,
1900,"GRANITOS 4",-11.9995,-76.9994,310,70,0.1100,61278,363922,"BSC02NLV",871,871,,616,1,"no creado",,,,,,1140,95,
1900,"GRANITOS 5",-11.9995,-76.9994,70,70,0.1100,61279,363922,"BSC02NLV",871,872,,668,1,"no creado",,,,,,1140,95,
1900,"GRANITOS 6",-11.9995,-76.9994,180,70,0.1100,61280,363922,"BSC02NLV",871,873,,670,1,"no creado",,,,,,1140,95,
1900,"GRIMALDO 4",-12.1248,-77.0260,350,70,0.1100,11411,249333,"BSC01NMA",323,326,,668,1,"no creado",,,,,,1120,92,
1900,"GRIMALDO 6",-12.1248,-77.0260,245,70,0.1100,11413,249333,"BSC01NMA",323,328,,670,1,"no creado",,,,,,1120,92,
1900,"GRIMALDO_2 4",-12.1248,-77.0260,0,70,0.1100,11414,249333,"BSC01NMA",1416,1416,,672,1,"no creado",,,,,,1120,92,
1900,"GRIMALDO_2 5",-12.1248,-77.0260,0,70,0.1100,11419,249333,"BSC01NMA",1416,1417,,613,1,"no creado",,,,,,1120,92,
1900,"GRIMALDO_2 6",-12.1248,-77.0260,115,70,0.1100,11412,249333,"BSC01NMA",1416,327,,615,1,"no creado",,,,,,1120,92,
1900,"GUINDAS_A 4",-12.0380,-76.9940,30,70,0.1100,17431,363922,"BSC02NLV",265,265,,669,1,"no creado",,,,,,1126,126,
1900,"GUINDAS_A 5",-12.0380,-76.9940,150,70,0.1100,17442,363922,"BSC02NLV",265,266,,612,1,"no creado",,,,,,1126,126,
1900,"GUINDAS_A 6",-12.0380,-76.9940,250,70,0.1100,17453,363922,"BSC02NLV",265,267,,614,1,"no creado",,,,,,1126,126,
1900,"GUIZADO 4",-12.0645,-77.0138,320,70,0.1100,10841,363922,"BSC02NLV",1,4,,668,1,"no creado",,,,,,1124,124,
1900,"GUIZADO 5",-12.0645,-77.0138,100,70,0.1100,10842,363922,"BSC02NLV",1,5,,671,1,"no creado",,,,,,1124,124,
